Name,"Number
2020-03-18 17:58:38","Number
2020-03-19 17:18:25"
Deutschland,['11830'],['14934']
Freistaat name ['Nordrhein-Westfalen'],+++ ['4286'] +++,+++ ['4743'] +++
['Heinsberg'],['789'],['840']
['Köln'],['327'],['430']
['Städteregion Aachen'],['259'],['298']
['Borken'],['123'],['164']
['Wesel'],['116'],['154']
['Essen'],['115'],['154']
['Münster'],['103'],['139']
['Düsseldorf'],['97'],['132']
['Steinfurt'],['95'],['130']
['Minden-Lübbecke'],['91'],['124']
['Gütersloh'],['91'],['110']
['Rhein-Sieg-Kreis'],['90'],['108']
['Rhein-Erft-Kreis'],['90'],['107']
['Lippe'],['85'],['106']
['Warendorf'],['84'],['100']
['Coesfeld'],['70'],['87']
['Kleve'],['66'],['85']
['Dortmund'],['65'],['80']
['Bonn'],['64'],['80']
['Recklinghausen'],['63'],['76']
['Mettmann'],['63'],['76']
['Hochsauerlandkreis'],['55'],['74']
['Düren'],['54'],['70']
['Paderborn'],['53'],['60']
['Rheinisch-Bergischer Kreis'],['52'],['59']
['Rhein-Kreis Neuss'],['50'],['59']
['Duisburg'],['46'],['55']
['Viersen'],['43'],['53']
['Bielefeld'],['43'],['52']
['Mönchengladbach'],['37'],['50']
['Herford'],['36'],['50']
['Krefeld'],['36'],['50']
['Oberbergischer Kreis'],['33'],['49']
['Wuppertal'],['31'],['47']
['Solingen'],['31'],['46']
['Leverkusen'],['31'],['35']
['Soest'],['29'],['33']
['Bochum'],['29'],['33']
['Ennepe-Ruhr-Kreis'],['22'],['32']
['Märkischer Kreis'],['21'],['32']
['Siegen-Wittgenstein'],['21'],['31']
['Unna'],['20'],['26']
['Gelsenkirchen'],['18'],['25']
['Hamm'],['16'],['21']
['Mülheim an der Ruhr'],['14'],['19']
['Oberhausen'],['13'],['18']
['Olpe'],['12'],['16']
['Euskirchen'],['12'],['14']
['Hagen'],['11'],['13']
['Remscheid'],['10'],['13']
['Bottrop'],['9'],['11']
['Herne'],['8'],['10']
['Höxter'],['6'],['7']
Freistaat name ['Baden-Württemberg'],+++ ['1953'] +++,+++ ['2448'] +++
['Stuttgart'],['284'],['284']
['Hohenlohekreis'],['151'],['193']
['Kreis Esslingen'],['123'],['151']
['Kreis Tübingen'],['80'],['127']
['Kreis Ludwigsburg'],['77'],['112']
['Rhein-Neckar-Kreis'],['77'],['85']
['Kreis Göppingen'],['64'],['79']
['Mannheim'],['64'],['78']
['Freiburg'],['62'],['71']
['Kreis Emmendingen'],['59'],['71']
['Breisgau-Hochschwarzwald'],['54'],['71']
['Ostalbkreis'],['52'],['64']
['Kreis Calw'],['51'],['63']
['Kreis Rastatt'],['51'],['63']
['Landkreis Heilbronn'],['50'],['61']
['Kreis Karlsruhe'],['50'],['60']
['Rems-Murr-Kreis'],['49'],['55']
['Ortenaukreis'],['43'],['53']
['Reutlingen'],['43'],['52']
['Karlsruhe'],['37'],['51']
['Heidelberg'],['34'],['49']
['Zollernalbkreis'],['33'],['47']
['Main-Tauber-Kreis'],['31'],['45']
['Bodenseekreis'],['29'],['43']
['Ulm'],['29'],['39']
['Kreis Böblingen'],['28'],['34']
['Kreis Konstanz'],['28'],['34']
['Alb-Donau-Kreis'],['24'],['31']
['Kreis Heidenheim'],['21'],['29']
['Kreis Schwäbisch Hall'],['21'],['28']
['Kreis Lörrach'],['19'],['28']
['Kreis Biberach'],['17'],['27']
['Schwarzwald-Baar-Kreis'],['16'],['26']
['Kreis Sigmaringen'],['16'],['25']
['Neckar-Odenwald-Kreis'],['14'],['21']
['Baden-Baden'],['12'],['17']
['Kreis Ravensburg'],['12'],['17']
['Kreis Freudenstadt'],['10'],['14']
['Enzkreis'],['9'],['14']
['Heilbronn'],['9'],['12']
['Pforzheim'],['6'],['7']
['Kreis Rottweil'],['5'],['7']
['Tuttlingen'],['5'],['5']
['Waldshut'],['4'],['5']
Freistaat name ['Bayern'],+++ ['1876'] +++,+++ ['2357'] +++
['München Stadt'],['321'],['321']
['München'],['115'],['133']
['Freising'],['105'],['130']
['Würzburg'],['60'],['88']
['Starnberg'],['49'],['65']
['Würzburg Stadt'],['47'],['62']
['Augsburg'],['41'],['58']
['Rosenheim'],['40'],['51']
['Tirschenreuth'],['38'],['47']
['Oberallgäu'],['35'],['47']
['Rosenheim Stadt'],['35'],['46']
['Ebersberg'],['34'],['44']
['Nürnberg Stadt'],['33'],['44']
['Kempten Stadt'],['32'],['41']
['Miesbach'],['32'],['40']
['Augsburg Stadt'],['30'],['39']
['Cham'],['29'],['38']
['Rottal-Inn'],['29'],['37']
['Regensburg'],['27'],['36']
['Weilheim-Schongau'],['27'],['35']
['Regensburg Stadt'],['26'],['35']
['Erding'],['25'],['32']
['Fürstenfeldbruck'],['23'],['31']
['Aschaffenburg'],['22'],['30']
['Deggendorf'],['22'],['26']
['Lindau (Bodensee)'],['21'],['26']
['Aschaffenburg Stadt'],['19'],['24']
['Landshut'],['19'],['23']
['Passau'],['19'],['22']
['Traunstein'],['19'],['21']
['Regen'],['18'],['20']
['Unterallgäu'],['18'],['20']
['Dingolfing-Landau'],['17'],['20']
['Neumarkt i.d.Opf.'],['17'],['20']
['Neu-Ulm'],['17'],['19']
['Schwandorf'],['17'],['19']
['Ostallgäu'],['16'],['18']
['Aichach-Friedberg'],['15'],['18']
['Amberg-Sulzbach'],['15'],['18']
['Dachau'],['15'],['18']
['Pfaffenhofen a.d.Ilm'],['15'],['18']
['Landsberg am Lech'],['14'],['17']
['Schweinfurt'],['13'],['17']
['Bad Tölz-Wolfratshausen'],['11'],['16']
['Nürnberger Land'],['11'],['16']
['Wunsiedel i. Fichtelgebirge'],['11'],['16']
['Bamberg'],['10'],['15']
['Berchtesgadener Land'],['10'],['15']
['Erlangen-Höchstadt'],['10'],['15']
['Fürth Stadt'],['10'],['14']
['Bayreuth'],['9'],['14']
['Donau-Ries'],['9'],['14']
['Erlangen Stadt'],['9'],['14']
['Miltenberg'],['9'],['14']
['Straubing-Bogen'],['9'],['13']
['Coburg'],['8'],['13']
['Forchheim'],['8'],['12']
['Freyung-Grafenau'],['8'],['12']
['Garmisch-Partenkirchen'],['8'],['12']
['Haßberge'],['8'],['11']
['Kulmbach'],['8'],['10']
['Main-Spessart'],['8'],['10']
['Straubing Stadt'],['8'],['10']
['Bad Kissingen'],['7'],['9']
['Bamberg Stadt'],['7'],['9']
['Landshut Stadt'],['7'],['9']
['Roth'],['7'],['9']
['Weiden Stadt'],['7'],['9']
['Hof'],['6'],['8']
['Kelheim'],['6'],['8']
['Kitzingen'],['6'],['8']
['Schwabach Stadt'],['6'],['8']
['Hof Stadt'],['5'],['8']
['Lichtenfels'],['5'],['8']
['Ansbach'],['4'],['7']
['Kaufbeuren Stadt'],['4'],['7']
['Kronach'],['4'],['7']
['Neustadt a.d. Aisch-Bad Windsheim'],['4'],['7']
['Passau Stadt'],['4'],['6']
['Eichstätt'],['3'],['6']
['Fürth'],['3'],['5']
['Memmingen Stadt'],['3'],['5']
['Rhön-Grabfeld'],['3'],['4']
['Amberg Stadt'],['2'],['4']
['Ingolstadt Stadt'],['2'],['4']
['Neustadt a. d. Waldnaab'],['2'],['4']
['Schweinfurt Stadt'],['2'],['3']
['Weißenburg-Gunzenhausen'],['2'],['3']
['Altötting'],['1'],['3']
['Mühldorf am Inn'],['1'],['2']
['Ansbach Stadt'],['0'],['2']
['Bayreuth Stadt'],['0'],['2']
['Coburg Stadt'],['0'],['2']
['Dillingen a.d. Donau'],['0'],['1']
['Günzburg'],['0'],['0']
['Neuburg-Schrobenhausen'],['0'],['0']
Freistaat name ['Niedersachsen'],+++ ['770'] +++,+++ ['981'] +++
['Region Hannover'],['155'],['198']
['Oldenburg Land'],['46'],['73']
['Osnabrück Stadt'],['33'],['46']
['Diepholz'],['30'],['38']
['Emsland'],['30'],['36']
['Schaumburg'],['29'],['35']
['Stade'],['29'],['33']
['Hildesheim'],['28'],['32']
['Harburg'],['27'],['30']
['Gifhorn'],['22'],['29']
['Lüneburg'],['21'],['29']
['Celle'],['20'],['25']
['Osterholz'],['20'],['23']
['Göttingen'],['19'],['23']
['Northeim'],['18'],['22']
['Verden'],['18'],['20']
['Osnabrück Land'],['17'],['19']
['Vechta'],['17'],['19']
['Rotenburg (Wümme)'],['16'],['18']
['Peine'],['15'],['18']
['Aurich'],['14'],['17']
['Ammerland'],['12'],['15']
['Braunschweig'],['12'],['15']
['Cuxhaven'],['12'],['14']
['Grafschaft Bentheim'],['11'],['14']
['Oldenburg Stadt'],['11'],['14']
['Goslar'],['10'],['13']
['Hameln-Pyrmont'],['10'],['13']
['Holzminden'],['8'],['11']
